airline|country|IATA|ICAO|callsign
Middle East Airlines|Lebanon|ME|MEA|CEDAR JET
Midway Airlines|United States|JI|MDW|MIDWAY
Midwest Airlines|United States|YX|MEP|MIDEX
MNG Airlines|Turkey|MB|MNB|BLACK SEA
Moldavian Airlines|Moldova|2M|MDV|MOLDAVIAN
Monarch Airlines|United Kingdom|ZB|MON|MONARCH
Montenegro Airlines|Montenegro|YM|MGX|MONTENEGRO
Moskovia Airlines|Russia|3R|GAI|GROMOV AIRLINE
Motor Sich|Ukraine|M9|MSI|MOTOR SICH
Mount Cook Airlines|New Zealand|NM|NZM|MOUNTCOOK
Mountain Air Company|Sierra Leone|N4|MTC|MOUNTAIN LEONE
Myanma Airways|Myanmar|UB|UBA|UNIONAIR
Myanmar Airways International|Myanmar|8M|MMM|assignment postponed
MyTravel Airways|United Kingdom|VZ|MYT|KESTREL
Nantucket Airlines|United States|DV|ACK|ACK AIR
Nasair|Eritrea|UE|NAS|NASAIRWAYS
National Jet Systems|Australia|NC|NJS|NATIONAL JET
Nationwide Airlines|South Africa|CE|NTW|NATIONWIDE
Nauru Air Corporation|Nauru|ON|RON|AIR NAURU
Neos|Italy|NO|NOS|MOONFLOWER
Nepal Airlines|Nepal|RA|RNA|ROYAL NEPAL
NetJets|United States|1I|EJA|EXECJET
New England Airlines|United States|EJ|NEA|NEW ENGLAND
NextJet|Sweden|2N|NTJ|NEXTJET
Niki|Austria|HG|NLY|FLYNIKI
Nippon Cargo Airlines|Japan|KZ|NCA|NIPPON CARGO
Nok Air|Thailand|DD|NOK|NOK AIR
Nordavia|Russia|5N|AUL|ARCHANGELSK AIR
Nordeste Linhas Aéreas Regionais|Brazil|JH|NES|NORDESTE
Nordic Regional|Sweden|6N|NRD|NORTH RIDER
North Flying|Denmark|M3|NFA|NORTH FLYING
North-Wright Airways|Canada|HW|NWL|NORTHWRIGHT
Northern Air Cargo|United States|NC|NAC|YUKON
Northwest Airlines|United States|NW|NWA|NORTHWEST
Northwestern Air|Canada|J3|PLR|POLARIS
Norwegian Air Shuttle|Norway|DY|NAX|NOR SHUTTLE
Nouvel Air Tunisie|Tunisia|BJ|LBT|NOUVELAIR
Nova Airline|Sudan|M4|NOV|NOVANILE
Novair|Sweden|1I|NVR|NAVIGATOR
Nuevo Continente|Peru|N6|ACQ|AERO CONTINENTE
O'Connor Airlines|Australia|UQ|OCM|OCONNOR
Oasis Hong Kong Airlines|Hong Kong|O8|OHK|OASIS
Ocean Airlines|Italy|VC|VCX|OCEANCARGO
Oceanair|Brazil|O6|ONE|OCEANAIR
Olympic Air|Greece|OA|NOA|OLYMPIC
Olympic Airlines|Greece|OA|OAL|OLYMPIC
Oman Air|Oman|WY|OMA|OMAN AIR
Omni Air International|United States|OY|OAE|OMNI-EXPRESS
Omskavia Airline|Russia|N3|OMS|OMSK
Onur Air|Turkey|8Q|OHY|ONUR AIR
Open Skies Consultative Commission|United States|1L|OSY|OPEN SKIES
Orenburg Airlines|Russia|R2|ORB|ORENBURG
Orient Thai Airlines|Thailand|OX|OEA|ORIENT THAI
Origin Pacific Airways|New Zealand|QO|OGN|ORIGIN
Ostfriesische Lufttransport|Germany|OL|OLT|OLTRA
Our Airline|Nauru|ON|RON|OUR AIRLINE
Overland Airways|Nigeria|OJ|OLA|OVERLAND
Ozark Air Lines|United States|OZ|OZR|OZARK
Ozjet Airlines|Australia|O7|OZJ|AUSJET
Pace Airlines|United States|Y5|PCE|PACE
Pacific Airlines|Vietnam|BL|PIC|PACIFIC AIRLINES
Pacific Blue|New Zealand|DJ|PBN|BLUEBIRD
Pacific Coastal Airline|Canada|8P|PCO|PASCO
Pacific East Asia Cargo Airlines|Philippines|Q8|PEC|PAC-EAST CARGO
Pacific Southwest Airlines|United States|PS|PSX|SMILEY
Pacific Wings|United States|LW|NMI|TSUNAMI
Pakistan International Airlines|Pakistan|PK|PIA|PAKISTAN
Palau Trans Pacific Airline|Palau|GP|PTP|TRANS PACIFIC
Palestinian Airlines|Egypt|PF|PNW|PALESTINIAN
Pamir Airways|Afghanistan|NR|PIR|PAMIR
PAN Air|Spain|PV|PNR|SKYJET
Pan American World Airways|United States|PA|PAA|CLIPPER
Panafrican Airways|Ivory Coast|PQ|PNF|PANWAYS
Pantanal Linhas Aéreas|Brazil|P8|PTN|PANTANAL
Paramount Airways|India|I7|PMW|PARAWAY
PB Air|Thailand|9Q|PBA|PEEBEE AIR
Pearl Airways|Haiti|HP|HPA|PEARL AIRWAYS
Pegasus Airlines|Turkey|H9|PGT|SUNTURK
Peninsula Airways|United States|KS|PEN|PENINSULA
Perm Airlines|Russia|P9|PGP|PERM AIR
Philippine Airlines|Philippines|PR|PAL|PHILIPPINE
Phuket Air|Thailand|9R|VAP|PHUKET AIR
Piedmont Airlines (1948-1989)|United States|PI|PDT|PIEDMONT
Pinnacle Airlines|United States|9E|FLG|FLAGSHIP
PLUNA|Uruguay|PU|PUA|PLUNA
PMTair|Cambodia|U4|PMT|MULTITRADE
Polar Air Cargo|United States|PO|PAC|POLAR
Polynesian Airlines|Samoa|PH|PAO|POLYNESIAN
Polynesian Blue|New Zealand|DJ|PLB|POLYBLUE
Porter Airlines|Canada|PD|POE|PORTER AIR
Portugalia|Portugal|NI|PGA|PORTUGALIA
Potomac Air|United States|BK|PDC|DISTRICT
Precision Air|Tanzania|PW|PRF|PRECISION AIR
Primaris Airlines|United States|FE|WCP|WHITECAP
Private Wings Flugcharter|Germany|8W|PWF|PRIVATE WINGS
Pulkovo Aviation Enterprise|Russia|FV|PLK|PULKOVO
Qantas|Australia|QF|QFA|QANTAS
Qatar Airways|Qatar|QR|QTR|QATARI
Redhill Aviation|United Kingdom|8L|RHC|REDAIR
Reem Air|Kyrgyzstan|V4|REK|REEM AIR
Regional Air Lines|Morocco|FN|RGL|MAROC REGIONAL
Régional Compagnie Aérienne Européenne|France|YS|RAE|REGIONAL EUROPE
Regional Express|Australia|ZL|RXA|REX
RegionsAir|United States|3C|CEA|CORP-X
Reno Air|United States|QQ|ROA|RENO AIR
Republic Airlines|United States|RW|RPA|BRICKYARD
Republic Express Airlines|Indonesia|RH|RPH|PUBLIC EXPRESS
Rico Linhas Aéreas|Brazil|C7|RLE|RICO
Rio Grande Air|United States|E2|GRN|GRANDE
Rio Sul Serviços Aéreos Regionais|Brazil|SL|RSL|RIO SUL
Rossiya|Russia|FV|SDM|RUSSIA
Royal Air Force|United Kingdom|RR|RFR|RAFAIR
Royal Air Force of Oman|Oman|RS|MJN|MAJAN
Royal Air Maroc|Morocco|AT|RAM|ROYALAIR MAROC
Royal Airlines|Pakistan|R0|RPK|ROYAL PAKISTAN
Royal Aruban Airlines|Aruba|V5|RYL|ROYAL ARUBAN
Royal Brunei Airlines|Brunei|BI|RBA|BRUNEI
Royal Jordanian|Jordan|RJ|RJA|JORDANIAN
Royal Khmer Airlines|Cambodia|RK|RKH|KHMER AIR
Royal Nepal Airlines|Nepal|RA|RNA|ROYAL NEPAL
Royal Phnom Penh Airways|Cambodia|RL|PPW|PHNOM-PENH AIR
Royal Tongan Airlines|Tonga|WR|HRH|TONGA ROYAL
Russian Sky Airlines|Russia|P7|ESL|RADUGA
Rwandair Express|Rwanda|WB|RWD|RWANDAIR
Ryan Air Service|United States|7S|RCT|ARCTIC TRANSPORT
Ryan International Airlines|United States|RD|RYN|RYAN INTERNATIONAL
Ryanair|Ireland|FR|RYR|RYANAIR
S7 Airlines|Russia|S7|SBI|SIBERIAN AIRLINES
SAETA|Ecuador|EH|SET|SAETA
Safair|South Africa|FA|SFR|CARGO
SAM Colombia|Colombia|MM|SAM|SAM
Sama Airlines|Saudi Arabia|ZS|SMY|NAJIM
Samara Airlines|Russia|E5|BRZ|BERYOZA
Santa Barbara Airlines|Venezuela|S3|BBR|SANTA BARBARA
Saratov Aviation Division|Russia|6W|SOV|SARATOV AIR
SAS Braathens|Norway|SK|CNO|SCANOR
Sat Airlines|Kazakhstan|HZ|SOZ|SATCO
SATA Air Acores|Portugal|SP|SAT|SATA
SATA International|Portugal|S4|RZO|AIR AZORES
Saudi Arabian Airlines|Saudi Arabia|SV|SVA|SAUDIA
Scandinavian Airlines|Sweden, Denmark and Norway|SK|SAS|SCANDINAVIAN
Seaborne Airlines|United States|BB|SBS|SEABORNE
Servicios de Transportes Aéreos Fueguinos|Argentina|FS|STU|FUEGUINO
SevenAir|United States|UG|SEN|S-BAR
Shaheen Air International|Pakistan|NL|SAI|SHAHEEN AIR
Shandong Airlines|China|SC|CDG|SHANDONG
Shanghai Airlines|China|FM|CSH|SHANGHAI AIR
Shanxi Airlines|China|8C|CXI|SHANXI
Shenzhen Airlines|China|ZH|CSZ|SHENZHEN AIR
Shovkoviy Shlyah|Ukraine|S8|SWW|WAY AERO
Shuttle America|United States|S5|TCF|MERCURY
Sibaviatrans|Russia|5M|SIB|SIBAVIA
Sichuan Airlines|China|3U|CSC|SI CHUAN
Siem Reap Airways|Cambodia|FT|SRH|SIEMREAP AIR
Sierra National Airlines|Sierra Leone|LJ|SLA|SELAIR
Silk Way Airlines|Azerbaijan|ZP|AZQ|SILK LINE
SilkAir|Singapore|MI|SLK|SILKAIR
Singapore Airlines|Singapore|SQ|SIA|SINGAPORE
Singapore Airlines Cargo|Singapore|SQ|SQC|SINGCARGO
Skagway Air Service|United States|N5|SGY|SKAGWAY AIR
Sky Airline|Chile|H2|SKU|AEROSKY
Sky Eyes|Thailand|I6|SEQ|SKY EYES
Sky Trek International Airlines|United States|1I|PZR|PHAZER
Skybus Airlines|United States|SX|SKB|SKYBUS
SkyEurope|Slovakia|NE|ESK|RELAX
SkyKing Turks and Caicos Airways|Turks and Caicos Islands|RU|SKI|SKYKING
Skymark Airlines|Japan|BC|SKY|SKYMARK
Skynet Airlines|Ireland|SI|SIH|BLUEJET
Skynet Asia Airways|Japan|6J|SNJ|NEWSKY
Skyservice Airlines|Canada|5G|SSV|SKYTOUR
SkyStar Airways|Thailand|XT|SKT|SKY YOU
Skywalk Airlines|United States|AL|SYX|SKYWAY-EX
SkyWest Airlines|United States|OO|SKW|SKYWEST
Slok Air Gambia|Gambia|S0|OKS|SLOK GAMBIA
Slovak Airlines|Slovakia|6Q|SLL|SLOV LINE
Solomon Airlines|Solomon Islands|IE|SOL|SOLOMON
Sosoliso Airlines|Nigeria|SO|OSL|SOSOLISO
South African Airways|South Africa|SA|SAA|SPRINGBOK
South East Asian Airlines|Philippines|DG|SRQ|SEAIR
Southern Winds Airlines|Argentina|A4|SWD|SOUTHERN WINDS
Southwest Airlines|United States|WN|SWA|SOUTHWEST
Spanair|Spain|JK|JKK|SPANAIR
Spicejet|India|SG|SEJ|SPICEJET
Spirit Airlines|United States|NK|NKS|SPIRIT WINGS
Spring Airlines|China|9S|CQH|AIR SPRING
SriLankan Airlines|Sri Lanka|UL|ALK|SRILANKAN
St Barth Commuter|France|PV|SBU|BLACK FIN
Star Flyer|Japan|7G|SFJ|STARFLYER
Star1 Airlines|Lithuania|V9|HCW|STAR1
Starlink Aviation|Canada|Q4|TLK|STARLINK
Sterling Airlines|Denmark|NB|SNB|STERLING
Sudan Airways|Sudan|SD|SUD|SUDANAIR
Sun Air (Fiji)|Fiji|PI|SUF|SUNFLOWER
Sun Air of Scandinavia|Denmark|EZ|SUS|SUNSCAN
Sun Country Airlines|United States|SY|SCX|SUN COUNTRY
Sun D'Or|Israel|7L|ERO|ECHO ROMEO
SunExpress|Turkey|XQ|SXS|SUNEXPRESS
Sunstate Airlines|Australia|QF|SSQ|SUNSTATE
Sunwing Airlines|Canada|WG|SWG|SUNWING
Superior Aviation|United States|SO|HKA|SPEND AIR
Surinam Airways|Suriname|PY|SLM|SURINAM
Swe Fly|Sweden|WV|SWV|FLYING SWEDE
SwedJet Airways|Sweden|VD|BBB|BLACKBIRD
Swedline Express|Sweden|SM|SRL|Starline
Swiss International Air Lines|Switzerland|LX|SWR|SWISS
Swissair|Switzerland|SR|SWR|SWISSAIR
Sylt Air GmbH|Germany|7E|AWU|SYLT-AIR
Syrian Arab Airlines|Syrian Arab Republic|RB|SYR|SYRIANAIR
TAAG Angola Airlines|Angola|DT|DTA|DTA
TACV|Portugal|VR|TCV|CABOVERDE
TAM Brazilian Airlines|Brazil|JJ|TAM|TAM
TAM Mercosur|Paraguay|PZ|LAP|PARAGUAYA
TAME|Ecuador|EQ|TAE|TAME
TAMPA|Colombia|QT|TPA|TAMPA
Tandem Aero|Moldova|TQ|TDM|TANDEM
TAP Portugal|Portugal|TP|TAP|AIR PORTUGAL
Tarom|Romania|RO|ROT|TAROM
Tassili Airlines|Algeria|SF|DTH|TASSILI AIR
Tavrey Airlines|Ukraine|T6|TVR|TAVREY
Tbilaviamsheni|Georgia|L6|VNZ|TBILAVIA
Teamline Air|Austria|L9|TLW|Teamline
Thai Air Cargo|Thailand|T2|TCG|THAI CARGO
Thai AirAsia|Thailand|FD|AIQ|THAI ASIA
Thai Airways International|Thailand|TG|THA|THAI
Thai Sky Airlines|Thailand|9I|TKY|THAI SKY
Thai Star Airlines|Thailand|T9|TSX|THAI STAR
Thomas Cook Airlines|Belgium|FQ|TCW|THOMAS COOK
Thomsonfly|United Kingdom|BY|TOM|TOMSON
Tiara Air|Aruba|3P|TNM|TIARA
Tiger Airways|Singapore|TR|TGW|GO CAT
Tiger Airways Australia|Australia|TT|TGW|GO CAT
Titan Airways|United Kingdom|ZT|AWC|ZAP
TNT Airways|Belgium|3V|TAY|QUALITY
Tobruk Air|Libya|7T|TOB|TOBRUK AIR
Tol-Air Services|United States|TI|TOL|TOL AIR
Trans Mediterranean Airlines|Lebanon|TL|TMA|TANGO LIMA
Trans States Airlines|United States|AX|LOF|WATERSKI
Trans World Airlines|United States|TW|TWA|TWA
Transaero Airlines|Russia|UN|TSO|TRANSOVIET
TransAsia Airways|Taiwan|GE|TNA|TransAsia
Transavia Holland|Netherlands|HV|TRA|TRANSAVIA
TransAVIAexport Airlines|Belarus|AL|TXC|TRANSEXPORT
Transbrasil|Brazil|TR|TBA|TRANSBRASIL
Transeuropean Airlines|Russia|UE|TEP|TRANSEURLINE
TransMeridian Airlines|United States|T9|TRZ|TRANS-MERIDIAN
Transmile Air Services|Malaysia|TH|TSE|TRANSMILE
Transports et Travaux Aériens de Madagascar|Madagascar|OF|TML|TAM AIRLINE
Transwest Air|Canada|9T|ABS|ATHABASKA
Trast Aero|Kyrgyzstan|S5|TSJ|TRAST AERO
Travel Service|Czech Republic|QS|TVS|SKYTRAVEL
Tri-MG Intra Asia Airlines|Indonesia|GY|TMG|TRILINES
TRIP Linhas Aéreas|Brazil|8R|TIB|TRIP
Tropic Air|Belize|PM|TOS|TROPISER
TUIfly Nordic|Sweden|6B|BLX|BLUESCAN
Tulip Air|Netherland|TD|TLP|TULIPAIR
Tunisair|Tunisia|TU|TAR|TUNAIR
Turan Air|Azerbaijan|3T|URN|TURAN
Turkish Airlines|Turkey|TK|THY|TURKISH
Twin Jet|France|T7|TJT|TWINJET
Ukraine International Airlines|Ukraine|PS|AUI|UKRAINE INTERNATIONAL
Ukrainian Cargo Airways|Ukraine|6Z|UKS|CARGOTRANS
UM Airlines|Ukraine|UF|UKM|UKRAINE MEDITERRANEE
United Airlines|United States|UA|UAL|UNITED
United Feeder Service|United States|U2|UFS|FEEDER EXPRESS
United Parcel Service|United States|5X|UPS|UPS
Ural Airlines|Russia|U6|SVR|SVERDLOVSK AIR
US Airways|United States|US|AWE|CACTUS
US Helicopter|United States|UH|USH|US-HELI
USA Jet Airlines|United States|U7|JUS|JET USA
USA3000 Airlines|United States|U5|GWY|GETAWAY
UTair Aviation|Russia|UT|UTA|UTAIR
Uzbekistan Airways|Uzbekistan|HY|UZB|UZBEK
V Australia Airlines|Australia|VA|VAU|VEE-OZ
Valuair|Singapore|VF|VLU|VALUAIR
ValuJet Airlines|United States|J7|VJA|CRITTER
Varig Logística|Brazil|LC|VLO|VELOG
VASP|Brazil|VP|VSP|VASP
Viaggio Air|Bulgaria|VM|VOA|VIAGGIO
Vietnam Airlines|Vietnam|VN|HVN|VIET NAM AIRLINES
VIM Airlines|Russia|NN|MOV|MOV AIR
Virgin America|United States|VX|VRD|REDWOOD
Virgin Atlantic Airways|United Kingdom|VS|VIR|VIRGIN
Virgin Blue|Australia|DJ|VOZ|VIRGIN
Virgin Blue Holdings|Australia|DJ|VBH|BLUEY
Virgin Express|Belgium|TV|VEX|VIRGIN EXPRESS
Virgin Nigeria Airways|Nigeria|VK|VGN|VIRGIN NIGERIA
Vision Airlines|United States|V2|RBY|RUBY
Viva Macau|Macao|ZG|VVM|JACKPOT
Vladivostok Air|Russia|XF|VLK|VLADAIR
VLM Airlines|Belgium|VG|VLM|RUBENS
Volare Airlines|Italy|VE|VLE|VOLA
Volaris|Mexico|Y4|VOI|VOLARIS
Volga-Dnepr Airlines|Russia|VI|VDA|VOLGA-DNEPR
Voyageur Airways|Canada|VC|VAL|VOYAGEUR
VRG Linhas Aéreas|Brazil|RG|VRN|VARIG
Vueling Airlines|Spain|VY|VLG|VUELING
Wasaya Airways|Canada|WT|WSG|WASAYA
Wataniya Airways|Kuwait|KW|WAN|WATANIYA
WDL Aviation|Germany|W1|WDL|WDL
WebJet Linhas Aéreas|Brazil|WJ|WEB|WEB-BRASIL
Welcome Air|Austria|2W|WLC|WELCOMEAIR
West Air Sweden|Sweden|PT|SWN|AIR SWEDEN
West Caribbean Airways|Colombia|YH|WCW|WEST
Western Airlines|United States|WA|WAL|WESTERN
WestJet|Canada|WS|WJA|WESTJET
Westward Airways|United States|CN|WWD|WESTWARD
Widerøe|Norway|WF|WIF|WIDEROE
Wind Jet|Italy|IV|JET|GHIBLI
Wings Air|Indonesia|1W|WON|WINGS ABADI
Wings of Alaska|United States|K5|WAK|WINGS ALASKA
Wizz Air|Bulgaria|W6|WVL|WIZZBUL
World Airways|United States|WO|WOA|WORLD
Wright Air Service|United States|8V|WRF|WRIGHT FLYER
Xiamen Airlines|China|MF|CXA|XIAMEN AIR
XL Airways France|France|SE|SEU|STARWAY
Xtra Airways|United States|XP|CXP|CASINO EXPRESS
Yamal Airlines|Russia|YL|LLM|YAMAL
Yangtze River Express|China|Y8|YZR|YANGTZE RIVER
Yemenia|Yemen|IY|IYE|YEMENI
Yuzhmashavia|Ukraine|2N|UMK|YUZMASH
Zambian Airways|Zambia|Q3|MBN|ZAMBIANA
Zimex Aviation|Switzerland|C4|IMX|ZIMEX
Zip|Canada|3J|WZP|ZIPPER
Zoom Airlines|Canada|Z4|OOM|ZOOM
